PLAYER_NAME,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
Kelly Olynyk,0.5016306668248267,0.4550796841393857,0.5103725462155873,0.4973112981960655,0.45133359105875687,0.529324313879384,0.5086432623983629,0.5255883499415435,0.7138167264578371,0.5336268590606135
Kentavious Caldwell-Pope,0.5037073050021577,0.5501575392074863,0.5081444628492043,0.4766424874426455,0.4854710765867077,0.4925552352261971,0.508655799714176,0.5320943868835066,0.5262739826089541,0.4920188527551408
Mason Plumlee,0.5098380328659117,0.5625616729414787,0.507675271382547,0.5133784311045507,0.5061237392553989,0.5274264048163418,0.5086020081588872,0.4652737196405793,0.6242992221053069,0.4837204542025696
Rudy Gobert,0.5100256411270113,0.43136653895763655,0.5091917385100345,0.5234470931418257,0.5130873509201914,0.5232880780014095,0.5085923607018262,0.5440124152850576,0.6872335329095313,0.5465089605906172
Steven Adams,0.5004874166903629,0.46713950355643413,0.5063876107150158,0.5009499289197371,0.4749857404858857,0.45170331891224197,0.50890893980759,0.5520442071923363,0.5012473059434897,0.5353895665798447
Giannis Antetokounmpo,0.511662178339168,0.44729853372145123,0.503490498806512,0.5042931871945258,0.46150352602552147,0.37990207138629706,0.5091658214239991,0.6141974978333314,0.4947223211923049,0.5988691801085838
Seth Curry,0.49769358543202197,0.578268148431136,0.5062230765221238,0.5641709394749587,0.5128183168477254,0.4931876230889495,0.5088286330371199,0.6396779340231771,0.7387227243042154,0.49881133487486623
Zach LaVine,0.5097552114385643,0.48434272119518085,0.5093858447367171,0.54390446361752,0.4931487052484048,0.4485464118178323,0.5091108696538065,0.5406891360470552,0.562815368492125,0.48859761680879654
Elfrid Payton,0.5051773708663555,0.4998074004509674,0.5094785634617874,0.5057928763331143,0.47816845831452254,0.5311535417776971,0.5086752931727552,0.4758960283260378,0.533728083372403,0.4820144488220464
Jordan Clarkson,0.5273877794488767,0.5990108342581295,0.5081424709609189,0.5200596893166882,0.48588404033552934,0.5679697981872581,0.508705247779877,0.5608726732739102,0.7542879362611973,0.5037296711732495
Gary Harris,0.5071908039176907,0.5795678811049652,0.5096809183465058,0.5141963815759034,0.48494134363832164,0.49024031496071885,0.5088774753998035,0.5452158899822871,0.5341785281925818,0.4824930044908862
Spencer Dinwiddie,0.5191368148857738,0.4346306134054101,0.5100184711817417,0.48003374103773505,0.5163564091336886,0.5061351228682255,0.5088734274961256,0.4887838094261219,0.4852402937899299,0.5022500596053616
Jerami Grant,0.5273121231902542,0.4886242893851972,0.5101678011343861,0.5479801373943619,0.5228623183369582,0.5479250850068209,0.5088054083704568,0.49728357080102514,0.5221563893581019,0.498114943952027
Doug McDermott,0.5063584228784719,0.5381734233688901,0.5097786664903863,0.5570465880158104,0.48231467847654175,0.45364904078439666,0.5090085728822736,0.5648549022136401,0.5829331082351411,0.47380314602207274
Aaron Gordon,0.5017475807845088,0.45352749099809625,0.5082428284450168,0.49873969366461884,0.5245240843650003,0.49309248845846115,0.5088874002132022,0.5404839277421882,0.5230684428520442,0.4863368266850862
Marcus Smart,0.50006254693358,0.4849971147789465,0.508791749879832,0.5305479281415945,0.5173337607473464,0.5498586414794827,0.5087355012461052,0.541620284110393,0.558684896843506,0.4987664442986353
