Player_Name,Salary
Davis  Terence Davis,"$64,301"
Fox  De'Aaron Fox,"$34,848,340"
Vassell  Devin Vassell,"$29,347,826"
Johnson  Keldon Johnson,"$19,000,000"
Barnes  Harrison Barnes,"$18,000,000"
Wembanyama  Victor Wembanyama,"$12,768,960"
Paul  Chris Paul,"$10,983,000"
Castle  Stephon Castle,"$9,105,120"
Sochan  Jeremy Sochan,"$5,570,040"
Branham  Malaki Branham,"$3,217,920"
Champagnie  Julian Champagnie,"$3,000,000"
Wesley  Blake Wesley,"$2,624,280"
McLaughlin  Jordan McLaughlin,"$2,087,519"
Bassey  Charles Bassey,"$2,087,519"
Mamukelashvili  Sandro Mamukelashvili,"$2,087,519"
Biyombo  Bismack Biyombo,"$503,884"
Ingram  Brandon Ingram,"$36,016,200"
Quickley  Immanuel Quickley,"$32,500,000"
Barrett  R.J. Barrett,"$25,794,643"
Poeltl  Jakob Poeltl,"$19,500,000"
Boucher  Chris Boucher,"$10,810,000"
Barnes  Scottie Barnes,"$10,130,980"
Dick  Gradey Dick,"$4,763,760"
Agbaji  Ochai Agbaji,"$4,310,280"
Walter  Ja'Kobe Walter,"$3,465,000"
Temple  Garrett Temple,"$2,087,519"
Mogbo  Jonathan Mogbo,"$1,862,265"
Shead  Jamal Shead,"$1,862,265"
Battle  Jamison Battle,"$1,000,000"
Castleton  Colin Castleton,"$100,000"
Lawson  A.J. Lawson,"$100,000"
Markkanen  Lauri Markkanen,"$42,176,400"
Collins  John Collins,"$26,580,000"
Sexton  Collin Sexton,"$18,150,000"
Clarkson  Jordan Clarkson,"$14,092,577"
Martin Jr.  Kenyon Martin Jr.,"$7,975,000"
Hendricks  Taylor Hendricks,"$5,848,680"
Williams  Cody Williams,"$5,469,120"
George  Keyonte George,"$4,084,200"
Mykhailiuk  Sviatoslav Mykhailiuk,"$3,500,000"
Juzang  Johnny Juzang,"$3,087,519"
Filipowski  Kyle Filipowski,"$3,000,000"
Kessler  Walker Kessler,"$2,965,920"
Sensabaugh  Brice Sensabaugh,"$2,571,480"
Collier  Isaiah Collier,"$2,512,680"
Springer  Jaden Springer,"$634,437"
Middleton  Khris Middleton,"$31,000,000"
Poole  Jordan Poole,"$29,651,786"
